text,label
"I like bananas.",A1
"My sister is at home.",A1
"The dog is very small.",A1
"I drink coffee every morning.",A1
"The table is brown.",A1
"I have a green bag.",A1
"The teacher is kind.",A1
"I read a short book.",A1
"My friend likes music.",A1
"The car is very fast.",A1
"I walk to school.",A1
"My brother has a bike.",A1
"I see a white bird.",A1
"The room is clean.",A1
"I eat rice for lunch.",A1
"The child is laughing.",A1
"I like this song.",A1
"The apple is sweet.",A1
"I watch TV at night.",A1
"My cat is sleeping.",A1
"I usually drink tea in the morning.",A2
"We visited our cousins last weekend.",A2
"I lost my phone yesterday.",A2
"She bought a new dress.",A2
"They are waiting for the bus.",A2
"I am learning to drive.",A2
"We watched an interesting documentary.",A2
"I forgot to bring my notebook.",A2
"She invited me to her birthday party.",A2
"The train arrived late.",A2
"I met him two years ago.",A2
"We stayed in a small hotel.",A2
"I want to learn Spanish.",A2
"He repaired his bicycle.",A2
"I wrote a letter to my friend.",A2
"She cooked dinner for everyone.",A2
"I cleaned my room this morning.",A2
"They played chess all afternoon.",A2
"I listened to music while studying.",A2
"The weather became colder.",A2
"I have been studying English for two years.",B1
"If you call her, she will help you.",B1
"I was watching TV when the lights went out.",B1
"They have already finished the assignment.",B1
"I believe this plan will work.",B1
"She told me that she was busy.",B1
"We decided to travel together.",B1
"I have never tried sushi before.",B1
"He was running when he slipped.",B1
"I will call you when I arrive.",B1
"We are thinking about moving next year.",B1
"I didn't realize the problem at first.",B1
"They have been waiting for the results.",B1
"I used to live in a big city.",B1
"If you need help, just ask.",B1
"I was surprised to see him there.",B1
"We managed to solve the problem.",B1
"I am considering changing my job.",B1
"She apologized for being late.",B1
"I felt nervous before the exam.",B1
"Although the project was difficult, we completed it successfully.",B2
"The manager explained the situation very clearly.",B2
"Despite the long journey, we enjoyed the trip.",B2
"The new policy aims to improve working conditions.",B2
"I would recommend this book to anyone interested in history.",B2
"The company plans to expand its services internationally.",B2
"We need to analyze the data carefully.",B2
"The presentation was both informative and engaging.",B2
"They discussed several possible solutions.",B2
"She demonstrated excellent leadership skills.",B2
"In addition, the study provides valuable insights.",B2
"The results indicate a clear improvement.",B2
"The organization focuses on community development.",B2
"The meeting lasted longer than expected.",B2
"Researchers are investigating new medical treatments.",B2
"The experiment produced unexpected results.",B2
"The report outlines the main challenges.",B2
"The team collaborated effectively.",B2
"We should evaluate all available options.",B2
"The proposal was accepted unanimously.",B2
"The rapid advancement of technology continues to reshape modern society.",C1
"Researchers emphasize the importance of interdisciplinary collaboration.",C1
"The debate surrounding artificial intelligence remains highly complex.",C1
"The study provides compelling evidence supporting the theory.",C1
"Education plays a crucial role in economic development.",C1
